entity_name,variable_name,obs_count,first_date,last_date,min_val,max_val,avg_val
HarrySong,Instagram_followers_daily,222,1/5/2024,10/13/2025,2336015,2510935,2477262.3153153155
HarrySong,Spotify_followers_daily,727,1/1/2024,12/31/2025,114269,151077,134519.97386519946
HarrySong,Spotify_monthly_listeners_daily,635,1/1/2024,9/30/2025,71574,114231,87598.76220472441
HarrySong,Wikipedia_views_daily,730,1/1/2024,12/31/2025,6,1136,41.152054794520545
HarrySong,YouTube_subscribers_daily,727,1/1/2024,12/31/2025,92005,93200,92541.05364511692
Illbliss,Instagram_followers_daily,243,1/1/2024,12/2/2025,465601,496624,484985.3086419753
Illbliss,Soundcloud_followers_daily,611,1/1/2024,12/31/2025,478,485,480.69067103109654
Illbliss,Spotify_followers_daily,727,1/1/2024,12/31/2025,31413,68527,48378.5818431912
Illbliss,Spotify_monthly_listeners_daily,727,1/1/2024,12/31/2025,65882,239261,139303.22971114167
Illbliss,Twitter_followers_daily,1,4/28/2024,4/28/2024,391087,391087,391087
Illbliss,Wikipedia_views_daily,716,1/1/2024,12/31/2025,3,205,24.937150837988828
Illbliss,YouTube_subscribers_daily,727,1/1/2024,12/31/2025,10000,13179,11899.91196698762
Iyanya,Bandsintown_followers_daily,533,1/1/2024,11/16/2025,0,15552,14141.88555347092
Iyanya,Instagram_followers_daily,669,1/1/2024,12/31/2025,2064637,2153503,2102681.889387145
Iyanya,Soundcloud_followers_daily,53,3/17/2025,12/31/2025,866,898,892.2452830188679
Iyanya,Spotify_followers_daily,727,1/1/2024,12/31/2025,340389,596431,452235.89270976617
Iyanya,Spotify_monthly_listeners_daily,543,1/1/2024,6/30/2025,549025,870382,673040.2228360957
Iyanya,TikTok_followers_daily,726,1/1/2024,12/31/2025,427400,485850,445405.5564738292
Iyanya,TikTok_likes_daily,729,1/1/2024,12/31/2025,1900000,3409091,2228794.1893004114
Iyanya,Twitter_followers_daily,470,3/12/2024,12/31/2025,1277100,1344580,1333787.4
Iyanya,Wikipedia_views_daily,731,1/1/2024,12/31/2025,24,452,74.94391244870042
Iyanya,YouTube_subscribers_daily,727,1/1/2024,12/31/2025,535000,694571,614186.2861072902
Khaid,Instagram_followers_daily,624,1/1/2024,12/31/2025,919064,1109316,1013834.4022435897
Khaid,Soundcloud_followers_daily,208,1/1/2024,12/31/2025,1459,2931,2037.0625
Khaid,Spotify_followers_daily,640,4/1/2024,12/31/2025,619003,1329619,1050717.441
Khaid,Spotify_monthly_listeners_daily,544,1/1/2024,12/31/2025,910513,3104964,1435097.938
Khaid,TikTok_followers_daily,726,1/1/2024,12/31/2025,934700,1400000,1233430.8388429752
Khaid,TikTok_likes_daily,727,1/1/2024,12/31/2025,10200000,23388888,17220220.077028885
Khaid,Twitter_followers_daily,513,3/12/2024,12/31/2025,86030,94816,91482.59454191034
Khaid,Wikipedia_views_daily,701,1/1/2024,12/31/2025,45,2792,190.39800285306706
Khaid,YouTube_subscribers_daily,727,1/1/2024,12/31/2025,284000,662000,470117.6066024759
Korede Bello,Bandsintown_followers_daily,534,1/1/2024,11/16/2025,0,22613,19910.112359550563
Korede Bello,Instagram_followers_daily,670,1/1/2024,12/31/2025,5064222,5276469,5160677.368656716
Korede Bello,Soundcloud_followers_daily,205,1/1/2024,12/31/2025,6661,7096,6819.092682926829
Korede Bello,Spotify_followers_daily,727,1/1/2024,12/31/2025,633720,705030,687526.561210454
Korede Bello,Spotify_monthly_listeners_daily,636,1/1/2024,12/31/2025,639006,1198896,858666.963836478
Korede Bello,TikTok_followers_daily,727,1/1/2024,12/31/2025,2200000,2654902,2387477.5130674
Korede Bello,TikTok_likes_daily,727,1/1/2024,12/31/2025,9000000,15880000,11527303.987620357
Korede Bello,Twitter_followers_daily,521,3/12/2024,12/31/2025,787343,831239,806435.1516314779
Korede Bello,Wikipedia_views_daily,731,1/1/2024,12/31/2025,26,449,70.87414500683994
Korede Bello,YouTube_subscribers_daily,727,1/1/2024,12/31/2025,256000,285945,275638.4841815681
Lady Donli,Bandsintown_followers_daily,524,1/1/2024,11/15/2025,0,2542,1620.131679389313
Lady Donli,Instagram_followers_daily,548,1/1/2024,12/31/2025,40965,46939,43843.34489051095
