artist_name,nmas_artist_id,provider_country,classification,evidence,needs_nbs_adjudication,quarters_present,gross_streaming_revenue_usd_total
Koker,koker,NG,domestic,provider registers the artist in Nigeria,N,31,28296.89
Kokoro,kokoro,GB,diaspora_candidate,provider registers the artist in GB,Y,29,1154235.58
Kola Ogunkoya,kola-ogunkoya,US,diaspora_candidate,provider registers the artist in US,Y,30,2245.6
Kollington Ayinla,kollington-ayinla,,unknown,provider holds no country for this artist,Y,30,485.9
Korede Bello,korede-bello,NG,domestic,provider registers the artist in Nigeria,N,31,1186088.42
Krexx Nv,krexx-nv,NG,domestic,provider registers the artist in Nigeria,N,9,1561.44
Kunle Ajayi,kunle-ajayi,,unknown,provider holds no country for this artist,Y,11,2.64
Kunmie,kunmie,NG,domestic,provider registers the artist in Nigeria,N,26,892696.44
Kvng Vinci,kvng-vinci,ZA,diaspora_candidate,provider registers the artist in ZA,Y,21,480721.23
L.A.X,l.a.x,NG,domestic,provider registers the artist in Nigeria,N,31,2615853.46
LADIPOE,ladipoe,NG,domestic,provider registers the artist in Nigeria,N,31,1203095.24
LKT,lkt,NG,domestic,provider registers the artist in Nigeria,N,30,12405.08
Lady Donli,lady-donli,NG,domestic,provider registers the artist in Nigeria,N,31,238693.91
Lagbaja,lagbaja,NG,domestic,provider registers the artist in Nigeria,N,31,77889.77
Lara George,lara-george,NG,domestic,provider registers the artist in Nigeria,N,31,303473.19
Larry Gaaga,larry-gaaga,NG,domestic,provider registers the artist in Nigeria,N,31,1030304.52
Lawrence Oyor,lawrence-oyor,NG,domestic,provider registers the artist in Nigeria,N,26,840711.55
Laycon,laycon,NG,domestic,provider registers the artist in Nigeria,N,26,98421.88
Lekaa Beats,lekaa-beats,GB,diaspora_candidate,provider registers the artist in GB,Y,30,340038.92
Lemmy Jackson,lemmy-jackson,NL,diaspora_candidate,provider registers the artist in NL,Y,19,20.2
Libianca,libianca,CM,diaspora_candidate,provider registers the artist in CM,Y,29,10301910.47
Lifesize Teddy,lifesize-teddy,PT,diaspora_candidate,provider registers the artist in PT,Y,25,27200.31
Lijadu Sisters,lijadu-sisters,NG,domestic,provider registers the artist in Nigeria,N,30,316527.65
Lil Kesh,lil-kesh,NG,domestic,provider registers the artist in Nigeria,N,31,976651.64
Lilin Baba,lilin-baba,NG,domestic,provider registers the artist in Nigeria,N,25,128452.29
Limoblaze,limoblaze,NG,domestic,provider registers the artist in Nigeria,N,31,1531306.34
Lincoln,lincoln,US,diaspora_candidate,provider registers the artist in US,Y,30,1005065.38
Lindsey Abudei,lindsey-abudei,NG,domestic,provider registers the artist in Nigeria,N,30,4207.92
Little Simz,little-simz,GB,diaspora_candidate,provider registers the artist in GB,Y,31,6317929.95
Liya,liya,NG,domestic,provider registers the artist in Nigeria,N,29,94141.23
Llona,llona,NG,domestic,provider registers the artist in Nigeria,N,18,542115.18
Lojay,lojay,NG,domestic,provider registers the artist in Nigeria,N,30,5472497.41
Lola Rae,lola-rae,NG,domestic,provider registers the artist in Nigeria,N,31,25944.0
London,london,,unknown,provider holds no country for this artist,Y,25,1070.74
Loose Kaynon,loose-kaynon,NG,domestic,provider registers the artist in Nigeria,N,31,2690.52
Lord of Ajasa,lord-of-ajasa,NG,domestic,provider registers the artist in Nigeria,N,31,16784.0
Louddaaa,louddaaa,NG,domestic,provider registers the artist in Nigeria,N,6,2874.44
Lyta,lyta,NG,domestic,provider registers the artist in Nigeria,N,31,278730.0
M Trill,m-trill,NG,domestic,provider registers the artist in Nigeria,N,20,39.36
M.I,m.i,GB,diaspora_candidate,provider registers the artist in GB,Y,30,15297.51
M.I. Abaga,m.i.-abaga,NG,domestic,provider registers the artist in Nigeria,N,31,357419.18
MC Galaxy,mc-galaxy,NG,domestic,provider registers the artist in Nigeria,N,31,144103.01
MCskill ThaPreacha,mcskill-thapreacha,NG,domestic,provider registers the artist in Nigeria,N,30,138.51
Made Kuti,made-kuti,NG,domestic,provider registers the artist in Nigeria,N,24,9782.63
Magixx,magixx,NG,domestic,provider registers the artist in Nigeria,N,31,1630894.26
Magníto,magníto,,unknown,provider holds no country for this artist,Y,31,187136.23
Maintain,maintain,US,diaspora_candidate,provider registers the artist in US,Y,17,3804.57
Mairo Ese,mairo-ese,NG,domestic,provider registers the artist in Nigeria,N,30,74261.23
Majeeed,majeeed,GB,diaspora_candidate,provider registers the artist in GB,Y,26,757475.03
Majek Fashek,majek-fashek,NG,domestic,provider registers the artist in Nigeria,N,31,57668.06
Makayla Malaka,makayla-malaka,NG,domestic,provider registers the artist in Nigeria,N,26,8188.43
Maleek Berry,maleek-berry,GB,diaspora_candidate,provider registers the artist in GB,Y,31,2501885.33
Mamman Shata,mamman-shata,,unknown,provider holds no country for this artist,Y,29,1824.11
Mannywellz,mannywellz,US,diaspora_candidate,provider registers the artist in US,Y,30,489725.16
Marenikae,marenikae,NG,domestic,provider registers the artist in Nigeria,N,30,261.14
Marvy,marvy,AL,diaspora_candidate,provider registers the artist in AL,Y,21,1229.89
Maryam Booth,maryam-booth,,unknown,provider holds no country for this artist,Y,4,220.69
Masterkraft,masterkraft,NG,domestic,provider registers the artist in Nigeria,N,31,458438.84
Mavo,mavo,GB,diaspora_candidate,provider registers the artist in GB,Y,29,1169879.76
May D,may-d,NG,domestic,provider registers the artist in Nigeria,N,31,198003.04
May7ven,may7ven,GB,diaspora_candidate,provider registers the artist in GB,Y,30,470.23
Mayorkun,mayorkun,NG,domestic,provider registers the artist in Nigeria,N,31,2166938.86
Mega 99,mega-99,NG,domestic,provider registers the artist in Nigeria,N,29,23080.13
Mercy Chinwo,mercy-chinwo,NG,domestic,provider registers the artist in Nigeria,N,31,2145717.71
Michael Ekeghasi,michael-ekeghasi,,unknown,provider holds no country for this artist,Y,22,4.1
Midnight Crew,midnight-crew,NG,domestic,provider registers the artist in Nigeria,N,31,70761.72
Mike Abdul,mike-abdul,NG,domestic,provider registers the artist in Nigeria,N,31,228663.01
Mike Ejeagha,mike-ejeagha,,unknown,provider holds no country for this artist,Y,31,262.55
Minister GUC,minister-guc,NG,domestic,provider registers the artist in Nigeria,N,24,467378.5
Minz,minz,NG,domestic,provider registers the artist in Nigeria,N,31,854038.69
Mo'Cheddah,mo'cheddah,NG,domestic,provider registers the artist in Nigeria,N,30,5925.58
Mode 9,mode-9,,unknown,provider holds no country for this artist,Y,30,1698.29
Modenine,modenine,NG,domestic,provider registers the artist in Nigeria,N,31,36250.77
Modola,modola,IT,diaspora_candidate,provider registers the artist in IT,Y,7,17911.63
Mohbad,mohbad,NG,domestic,provider registers the artist in Nigeria,N,30,1509993.53
Momee Gombe,momee-gombe,NG,domestic,provider registers the artist in Nigeria,N,18,53586.77
Monaky,monaky,NG,domestic,provider registers the artist in Nigeria,N,23,637462.94
Monica Ogah,monica-ogah,NG,domestic,provider registers the artist in Nigeria,N,30,17199.63
Monicazation,monicazation,US,diaspora_candidate,provider registers the artist in US,Y,29,356.92
Monochrome,monochrome,NG,domestic,provider registers the artist in Nigeria,N,11,34747.82
Morell,morell,NG,domestic,provider registers the artist in Nigeria,N,30,22060.18
Morocco Maduka,morocco-maduka,NG,domestic,provider registers the artist in Nigeria,N,24,24.33
Morravey,morravey,NG,domestic,provider registers the artist in Nigeria,N,12,230175.91
Mosbeekhan,mosbeekhan,NG,domestic,provider registers the artist in Nigeria,N,14,682.51
Moses Bliss,moses-bliss,NG,domestic,provider registers the artist in Nigeria,N,29,3184756.3
Mr 2Kay,mr-2kay,NG,domestic,provider registers the artist in Nigeria,N,31,22621.07
Mr Dutch,mr-dutch,ZA,diaspora_candidate,provider registers the artist in ZA,Y,30,69287.54
Mr Eazi,mr-eazi,NG,domestic,provider registers the artist in Nigeria,N,31,8671767.03
Mr M & Revelation,mr-m-&-revelation,NG,domestic,provider registers the artist in Nigeria,N,25,141632.59
Mr Raw,mr-raw,NG,domestic,provider registers the artist in Nigeria,N,27,35365.59
Mr Real,mr-real,NG,domestic,provider registers the artist in Nigeria,N,30,59167.06
Mr. P,mr.-p,NG,domestic,provider registers the artist in Nigeria,N,30,793947.0
