artist_name,nmas_artist_id,provider_country,classification,evidence,needs_nbs_adjudication,quarters_present,gross_streaming_revenue_usd_total
Testimony Jaga,testimony-jaga,NG,domestic,provider registers the artist in Nigeria,N,27,88971.58
The Cavemen,the-cavemen,NZ,diaspora_candidate,provider registers the artist in NZ,Y,31,380571.44
The Second Voice,the-second-voice,NG,domestic,provider registers the artist in Nigeria,N,3,559306.21
Theophilus Sunday,theophilus-sunday,NG,domestic,provider registers the artist in Nigeria,N,10,209528.68
Theresa Onuorah,theresa-onuorah,,unknown,provider holds no country for this artist,Y,25,97455.67
Tiimie,tiimie,NG,domestic,provider registers the artist in Nigeria,N,15,233890.94
Tijjani Gandu,tijjani-gandu,NG,domestic,provider registers the artist in Nigeria,N,11,1429.44
Tim Godfrey,tim-godfrey,NG,domestic,provider registers the artist in Nigeria,N,31,1268903.65
Timaya,timaya,NG,domestic,provider registers the artist in Nigeria,N,31,2185148.5
Timi Dakolo,timi-dakolo,NG,domestic,provider registers the artist in Nigeria,N,31,221648.89
Titom,titom,FR,diaspora_candidate,provider registers the artist in FR,Y,29,2235128.31
Tiwa Savage,tiwa-savage,NG,domestic,provider registers the artist in Nigeria,N,31,4829108.21
Tjan,tjan,NG,domestic,provider registers the artist in Nigeria,N,31,26580.93
Tkeyz,tkeyz,NG,domestic,provider registers the artist in Nigeria,N,29,347378.46
Tml Vibez,tml-vibez,NG,domestic,provider registers the artist in Nigeria,N,14,634420.77
Tobi Ibitoye,tobi-ibitoye,NG,domestic,provider registers the artist in Nigeria,N,30,122925.85
Toby Foyeh,toby-foyeh,GB,diaspora_candidate,provider registers the artist in GB,Y,30,9313.93
Tolani,tolani,NG,domestic,provider registers the artist in Nigeria,N,30,60488.84
Tolex,tolex,BR,diaspora_candidate,provider registers the artist in BR,Y,29,10825.62
Tolibian,tolibian,NG,domestic,provider registers the artist in Nigeria,N,22,24329.76
Tolu Obanro,tolu-obanro,NG,domestic,provider registers the artist in Nigeria,N,14,2833.84
Tolü Makay,tolü-makay,IE,diaspora_candidate,provider registers the artist in IE,Y,30,27826.28
Tomi Agape,tomi-agape,GB,diaspora_candidate,provider registers the artist in GB,Y,30,186031.72
Tomi Favored,tomi-favored,US,diaspora_candidate,provider registers the artist in US,Y,30,30793.55
Tomi Folayan,tomi-folayan,,unknown,provider holds no country for this artist,Y,17,797.88
Tomi Thomas,tomi-thomas,US,diaspora_candidate,provider registers the artist in US,Y,31,64202.68
Tony Allen,tony-allen,NG,domestic,provider registers the artist in Nigeria,N,31,739501.22
Tony Tetuila,tony-tetuila,NG,domestic,provider registers the artist in Nigeria,N,31,41520.28
Tonye Garrick,tonye-garrick,NG,domestic,provider registers the artist in Nigeria,N,29,282.51
Tope Alabi,tope-alabi,NG,domestic,provider registers the artist in Nigeria,N,31,522032.13
Tunde Jegede,tunde-jegede,GB,diaspora_candidate,provider registers the artist in GB,Y,31,84096.26
Tunde King,tunde-king,NG,domestic,provider registers the artist in Nigeria,N,30,82.75
Tunde Nightingale,tunde-nightingale,NG,domestic,provider registers the artist in Nigeria,N,10,110.28
Tunji Oyelana,tunji-oyelana,NG,domestic,provider registers the artist in Nigeria,N,30,11516.03
Töme,töme,JP,diaspora_candidate,provider registers the artist in JP,Y,15,12048.06
Ugezu J. Ugezu,ugezu-j.-ugezu,,unknown,provider holds no country for this artist,Y,15,8.54
Umar M Shareef,umar-m-shareef,NG,domestic,provider registers the artist in Nigeria,N,31,231003.01
Umu Obiligbo,umu-obiligbo,NG,domestic,provider registers the artist in Nigeria,N,30,283552.57
Vector,vector,NG,domestic,provider registers the artist in Nigeria,N,31,576818.22
Vibez Inc,vibez-inc,NG,domestic,provider registers the artist in Nigeria,N,10,103821.33
Victony,victony,NG,domestic,provider registers the artist in Nigeria,N,29,7465115.67
Victor AD,victor-ad,NG,domestic,provider registers the artist in Nigeria,N,31,379411.39
Victor Olaiya,victor-olaiya,NG,domestic,provider registers the artist in Nigeria,N,30,23499.7
Victor Thompson,victor-thompson,NG,domestic,provider registers the artist in Nigeria,N,20,3174705.65
Victoria Kimani,victoria-kimani,KE,diaspora_candidate,provider registers the artist in KE,Y,31,46849.07
Victoria Orenze,victoria-orenze,NG,domestic,provider registers the artist in Nigeria,N,30,996026.19
Vudumane,vudumane,US,diaspora_candidate,provider registers the artist in US,Y,26,312955.88
Waconzy,waconzy,NG,domestic,provider registers the artist in Nigeria,N,31,76060.0
Waje,waje,NG,domestic,provider registers the artist in Nigeria,N,31,63209.06
Wande Coal,wande-coal,NG,domestic,provider registers the artist in Nigeria,N,31,3064346.68
Wani,wani,NG,domestic,provider registers the artist in Nigeria,N,30,80783.69
Wasiu Alabi Pasuma,wasiu-alabi-pasuma,NG,domestic,provider registers the artist in Nigeria,N,30,3023.57
Wavy the Creator,wavy-the-creator,NG,domestic,provider registers the artist in Nigeria,N,31,30359.04
Weird MC,weird-mc,NG,domestic,provider registers the artist in Nigeria,N,30,10978.15
William Onyeabor,william-onyeabor,NG,domestic,provider registers the artist in Nigeria,N,31,530540.78
Wizard Chan,wizard-chan,NG,domestic,provider registers the artist in Nigeria,N,20,546132.23
Wizkid,wizkid,NG,domestic,provider registers the artist in Nigeria,N,31,22135138.02
WizzyPro,wizzypro,NG,domestic,provider registers the artist in Nigeria,N,30,723.03
Wole Oni,wole-oni,,unknown,provider holds no country for this artist,Y,31,377.54
Wolfacejoeyy,wolfacejoeyy,US,diaspora_candidate,provider registers the artist in US,Y,23,352401.23
WurlD,wurld,US,diaspora_candidate,provider registers the artist in US,Y,31,764774.21
Yadah,yadah,NG,domestic,provider registers the artist in Nigeria,N,26,237204.4
Yarden,yarden,NG,domestic,provider registers the artist in Nigeria,N,29,902738.61
Ycee,ycee,NG,domestic,provider registers the artist in Nigeria,N,31,1058504.92
Yemi Alade,yemi-alade,NG,domestic,provider registers the artist in Nigeria,N,31,3383574.79
Yemzzy,yemzzy,NG,domestic,provider registers the artist in Nigeria,N,25,45.4
Yhemolee,yhemolee,NG,domestic,provider registers the artist in Nigeria,N,26,13600.27
Yinka Ayefele,yinka-ayefele,NG,domestic,provider registers the artist in Nigeria,N,31,87964.59
Yinka Davies,yinka-davies,NG,domestic,provider registers the artist in Nigeria,N,30,374.35
Young Jonn,young-jonn,NG,domestic,provider registers the artist in Nigeria,N,30,3481771.61
Yung6ix,yung6ix,NG,domestic,provider registers the artist in Nigeria,N,31,93792.96
Yuppe,yuppe,ZA,diaspora_candidate,provider registers the artist in ZA,Y,21,1168041.16
Yusuf Olatunji,yusuf-olatunji,,unknown,provider holds no country for this artist,Y,9,6.11
Zaki Dan Yaya,zaki-dan-yaya,NG,domestic,provider registers the artist in Nigeria,N,20,46003.77
Zaylevelten,zaylevelten,NG,domestic,provider registers the artist in Nigeria,N,11,212044.32
Zayn Africa,zayn-africa,NG,domestic,provider registers the artist in Nigeria,N,25,10.07
Zerrydl,zerrydl,NG,domestic,provider registers the artist in Nigeria,N,14,944830.52
Zhus Jdo,zhus-jdo,NG,domestic,provider registers the artist in Nigeria,N,11,202292.67
Zilla Oaks,zilla-oaks,NG,domestic,provider registers the artist in Nigeria,N,30,8794.25
Zinoleesky,zinoleesky,NG,domestic,provider registers the artist in Nigeria,N,29,2071605.35
Zlatan,zlatan,NG,domestic,provider registers the artist in Nigeria,N,31,1852071.39
Zoro,zoro,NG,domestic,provider registers the artist in Nigeria,N,27,10376.42
Zubi,zubi,CA,diaspora_candidate,provider registers the artist in CA,Y,29,1399173.37
Zule Zoo,zule-zoo,NG,domestic,provider registers the artist in Nigeria,N,30,12361.55
el Mafrex,el-mafrex,GB,diaspora_candidate,provider registers the artist in GB,Y,26,6419.41
oSHAMO,oshamo,GB,diaspora_candidate,provider registers the artist in GB,Y,19,246434.31
