artist_name,soundcharts_uuid,country,career_stage,growth_level,genres,songs,albums,chart_entries,playlist_entries,events,radio_stations_monitored,platform_identifiers
Sadiq Saleh,cd647c83-80cd-43c0-bc26-6a359a5844ea,NG,long_tail,average_growth,electro; pop,104,63,0,15,0,3,21
Masterkraft,cdef2088-b8ce-11e8-b94f-525400009efb,NG,mid_level,average_growth,edm; electro; hip hop; pop; religious; traditional,333,113,3,401,0,1472,32
Hauwa Yarfulani,cf07c04d-e5d4-42c7-be74-93b9f0091bc1,,long_tail,average_growth,electro; traditional,58,24,0,0,0,26,12
Boy Spyce,d0409c99-c83e-403e-9a1e-a73ff46e7fe6,NG,mainstream,average_growth,electro; pop; r&b; traditional,170,54,1,437,5,506,37
Lilin Baba,d0b47d26-f272-4ce8-b0c3-347ce41f7397,NG,long_tail,average_growth,pop; traditional,84,50,0,11,0,4,25
Chinyere Udoma,d1f41138-21a2-11e9-91c1-549f35141000,NG,long_tail,average_growth,religious,31,11,0,1,0,2,13
John Okafor,d2907c25-fd42-4aaf-9e6d-0879e10b8da0,,long_tail,average_growth,religious,3,3,0,0,0,0,5
Murz,d2dea7cd-9979-4798-9aac-d257992fa041,CA,long_tail,average_growth,edm; electro,74,54,0,78,0,0,18
PsychoYp,d2f9af22-0639-11e9-a62e-00163ec5a2fb,NG,long_tail,average_growth,alternative; traditional,32,3,0,241,0,13,3
Naziru Sarkin Waka,d306ee3e-1787-4e49-9091-e1aaa2d9cfb0,,long_tail,average_growth,,2,0,0,0,0,2,2
Champz,d4ad3708-0d0f-4ba9-917c-1b7895cd3ee2,NG,long_tail,average_growth,electro; religious,18,7,0,344,0,15,9
Jigsaw,d4e63b27-d685-43b8-a37e-cccc6be5ba34,TH,long_tail,average_growth,hip hop; pop; r&b,14,16,0,19,0,0,10
Oberz,d5830324-b346-11e8-afb4-525400009efb,NG,long_tail,average_growth,electro; religious; soul; traditional,59,38,3,394,0,307,30
Tempoe,d5a762fe-5d2d-4417-9aa7-cdd3e418bfb7,US,mid_level,average_growth,electro; hip hop; r&b,123,30,12,432,0,724,27
el Mafrex,d5b9d1ee-1cfc-42f5-98c3-72d5d8e977d0,GB,long_tail,average_growth,religious; traditional,37,24,0,29,0,3,19
Sogha Niger,d656f042-bcc8-440c-b7a2-8d0910909fba,NE,long_tail,average_growth,electro,45,35,4,7,0,9,7
Neon Adejo,d752cf08-11a2-11e9-acf2-00163ec5a2fb,US,mid_level,average_growth,r&b; religious,104,42,48,407,1,95,27
