entity_name,variable_name,period_label,aggregation_rule,aggregated_value,first_value,last_value,obs_count
2Baba,Playlist_Apple_Music_count_daily,Q1_2024,last_value,45.0,44.0,45.0,13
2Baba,Playlist_Apple_Music_count_daily,Q1_2025,last_value,46.0,44.0,46.0,13
2Baba,Playlist_Apple_Music_count_daily,Q1_2026,last_value,44.0,43.0,46.0,13
2Baba,Playlist_Apple_Music_count_daily,Q2_2019,last_value,10.0,10.0,13.0,13
2Baba,Playlist_Apple_Music_count_daily,Q2_2020,last_value,17.0,14.0,17.0,13
2Baba,Playlist_Apple_Music_count_daily,Q2_2021,last_value,11.0,11.0,11.0,13
2Baba,Playlist_Apple_Music_count_daily,Q2_2022,last_value,17.0,17.0,17.0,13
2Baba,Playlist_Apple_Music_count_daily,Q2_2023,last_value,18.0,18.0,19.0,13
2Baba,Playlist_Apple_Music_count_daily,Q2_2024,last_value,41.0,41.0,47.0,13
2Baba,Playlist_Apple_Music_count_daily,Q2_2025,last_value,45.0,45.0,46.0,13
2Baba,Playlist_Apple_Music_count_daily,Q2_2026,last_value,40.0,40.0,45.0,13
2Baba,Playlist_Apple_Music_count_daily,Q3_2019,last_value,8.0,8.0,9.0,13
2Baba,Playlist_Apple_Music_count_daily,Q3_2020,last_value,15.0,14.0,16.0,13
2Baba,Playlist_Apple_Music_count_daily,Q3_2021,last_value,15.0,11.0,15.0,13
2Baba,Playlist_Apple_Music_count_daily,Q3_2022,last_value,18.0,17.0,19.0,14
2Baba,Playlist_Apple_Music_count_daily,Q3_2023,last_value,48.0,18.0,48.0,13
2Baba,Playlist_Apple_Music_count_daily,Q3_2024,last_value,45.0,41.0,47.0,13
2Baba,Playlist_Apple_Music_count_daily,Q3_2025,last_value,46.0,43.0,46.0,13
2Baba,Playlist_Apple_Music_count_daily,Q3_2026,last_value,60.0,51.0,61.0,6
2Baba,Playlist_Apple_Music_count_daily,Q4_2019,last_value,7.0,7.0,12.0,13
2Baba,Playlist_Apple_Music_count_daily,Q4_2020,last_value,20.0,15.0,21.0,13
2Baba,Playlist_Apple_Music_count_daily,Q4_2021,last_value,16.0,13.0,18.0,14
2Baba,Playlist_Apple_Music_count_daily,Q4_2022,last_value,19.0,18.0,20.0,13
2Baba,Playlist_Apple_Music_count_daily,Q4_2023,last_value,48.0,48.0,49.0,13
2Baba,Playlist_Apple_Music_count_daily,Q4_2024,last_value,44.0,43.0,46.0,13
2Baba,Playlist_Apple_Music_count_daily,Q4_2025,last_value,45.0,44.0,50.0,13
2Baba,Playlist_Apple_Music_editorial_count_daily,Q1_2019,last_value,10.0,10.0,12.0,13
2Baba,Playlist_Apple_Music_editorial_count_daily,Q1_2020,last_value,15.0,6.0,16.0,13
2Baba,Playlist_Apple_Music_editorial_count_daily,Q1_2021,last_value,10.0,10.0,19.0,13
2Baba,Playlist_Apple_Music_editorial_count_daily,Q1_2022,last_value,13.0,12.0,15.0,12
2Baba,Playlist_Apple_Music_editorial_count_daily,Q1_2023,last_value,16.0,16.0,17.0,13
2Baba,Playlist_Apple_Music_editorial_count_daily,Q1_2024,last_value,41.0,40.0,41.0,13
2Baba,Playlist_Apple_Music_editorial_count_daily,Q1_2025,last_value,39.0,38.0,40.0,13
2Baba,Playlist_Apple_Music_editorial_count_daily,Q1_2026,last_value,38.0,37.0,39.0,13
2Baba,Playlist_Apple_Music_editorial_count_daily,Q2_2019,last_value,9.0,9.0,11.0,13
2Baba,Playlist_Apple_Music_editorial_count_daily,Q2_2020,last_value,16.0,13.0,16.0,13
2Baba,Playlist_Apple_Music_editorial_count_daily,Q2_2021,last_value,10.0,10.0,10.0,13
2Baba,Playlist_Apple_Music_editorial_count_daily,Q2_2022,last_value,14.0,14.0,14.0,13
2Baba,Playlist_Apple_Music_editorial_count_daily,Q2_2023,last_value,15.0,15.0,16.0,13
2Baba,Playlist_Apple_Music_editorial_count_daily,Q2_2024,last_value,37.0,37.0,42.0,13
2Baba,Playlist_Apple_Music_editorial_count_daily,Q2_2025,last_value,38.0,38.0,39.0,13
2Baba,Playlist_Apple_Music_editorial_count_daily,Q2_2026,last_value,34.0,34.0,39.0,13
2Baba,Playlist_Apple_Music_editorial_count_daily,Q3_2019,last_value,7.0,7.0,8.0,13
2Baba,Playlist_Apple_Music_editorial_count_daily,Q3_2020,last_value,14.0,13.0,15.0,13
2Baba,Playlist_Apple_Music_editorial_count_daily,Q3_2021,last_value,14.0,10.0,14.0,13
2Baba,Playlist_Apple_Music_editorial_count_daily,Q3_2022,last_value,15.0,14.0,16.0,14
2Baba,Playlist_Apple_Music_editorial_count_daily,Q3_2023,last_value,44.0,15.0,44.0,13
2Baba,Playlist_Apple_Music_editorial_count_daily,Q3_2024,last_value,38.0,37.0,40.0,13
2Baba,Playlist_Apple_Music_editorial_count_daily,Q3_2025,last_value,38.0,36.0,38.0,13
2Baba,Playlist_Apple_Music_editorial_count_daily,Q3_2026,last_value,52.0,47.0,53.0,6
2Baba,Playlist_Apple_Music_editorial_count_daily,Q4_2019,last_value,6.0,6.0,11.0,13
2Baba,Playlist_Apple_Music_editorial_count_daily,Q4_2020,last_value,19.0,14.0,20.0,13
2Baba,Playlist_Apple_Music_editorial_count_daily,Q4_2021,last_value,13.0,11.0,16.0,14
2Baba,Playlist_Apple_Music_editorial_count_daily,Q4_2022,last_value,16.0,15.0,17.0,13
2Baba,Playlist_Apple_Music_editorial_count_daily,Q4_2023,last_value,44.0,44.0,45.0,13
2Baba,Playlist_Apple_Music_editorial_count_daily,Q4_2024,last_value,38.0,37.0,39.0,13
2Baba,Playlist_Apple_Music_editorial_count_daily,Q4_2025,last_value,38.0,37.0,41.0,13
2Baba,Playlist_Apple_Music_editorial_reach_daily,Q1_2019,last_value,0.0,0.0,0.0,13
2Baba,Playlist_Apple_Music_editorial_reach_daily,Q1_2020,last_value,0.0,0.0,0.0,13
2Baba,Playlist_Apple_Music_editorial_reach_daily,Q1_2021,last_value,0.0,0.0,0.0,13
2Baba,Playlist_Apple_Music_editorial_reach_daily,Q1_2022,last_value,0.0,0.0,0.0,12
2Baba,Playlist_Apple_Music_editorial_reach_daily,Q1_2023,last_value,0.0,0.0,0.0,13
2Baba,Playlist_Apple_Music_editorial_reach_daily,Q1_2024,last_value,0.0,0.0,0.0,13
2Baba,Playlist_Apple_Music_editorial_reach_daily,Q1_2025,last_value,0.0,0.0,0.0,13
2Baba,Playlist_Apple_Music_editorial_reach_daily,Q1_2026,last_value,0.0,0.0,0.0,13
2Baba,Playlist_Apple_Music_editorial_reach_daily,Q2_2019,last_value,0.0,0.0,0.0,13
2Baba,Playlist_Apple_Music_editorial_reach_daily,Q2_2020,last_value,0.0,0.0,0.0,13
2Baba,Playlist_Apple_Music_editorial_reach_daily,Q2_2021,last_value,0.0,0.0,0.0,13
2Baba,Playlist_Apple_Music_editorial_reach_daily,Q2_2022,last_value,0.0,0.0,0.0,13
2Baba,Playlist_Apple_Music_editorial_reach_daily,Q2_2023,last_value,0.0,0.0,0.0,13
2Baba,Playlist_Apple_Music_editorial_reach_daily,Q2_2024,last_value,0.0,0.0,0.0,13
2Baba,Playlist_Apple_Music_editorial_reach_daily,Q2_2025,last_value,0.0,0.0,0.0,13
2Baba,Playlist_Apple_Music_editorial_reach_daily,Q2_2026,last_value,0.0,0.0,0.0,13
2Baba,Playlist_Apple_Music_editorial_reach_daily,Q3_2019,last_value,0.0,0.0,0.0,13
2Baba,Playlist_Apple_Music_editorial_reach_daily,Q3_2020,last_value,0.0,0.0,0.0,13
2Baba,Playlist_Apple_Music_editorial_reach_daily,Q3_2021,last_value,0.0,0.0,0.0,13
2Baba,Playlist_Apple_Music_editorial_reach_daily,Q3_2022,last_value,0.0,0.0,0.0,14
2Baba,Playlist_Apple_Music_editorial_reach_daily,Q3_2023,last_value,0.0,0.0,0.0,13
2Baba,Playlist_Apple_Music_editorial_reach_daily,Q3_2024,last_value,0.0,0.0,0.0,13
2Baba,Playlist_Apple_Music_editorial_reach_daily,Q3_2025,last_value,0.0,0.0,0.0,13
2Baba,Playlist_Apple_Music_editorial_reach_daily,Q3_2026,last_value,0.0,0.0,0.0,6
2Baba,Playlist_Apple_Music_editorial_reach_daily,Q4_2019,last_value,0.0,0.0,0.0,13
2Baba,Playlist_Apple_Music_editorial_reach_daily,Q4_2020,last_value,0.0,0.0,0.0,13
2Baba,Playlist_Apple_Music_editorial_reach_daily,Q4_2021,last_value,0.0,0.0,0.0,14
2Baba,Playlist_Apple_Music_editorial_reach_daily,Q4_2022,last_value,0.0,0.0,0.0,13
2Baba,Playlist_Apple_Music_editorial_reach_daily,Q4_2023,last_value,0.0,0.0,0.0,13
2Baba,Playlist_Apple_Music_editorial_reach_daily,Q4_2024,last_value,0.0,0.0,0.0,13
2Baba,Playlist_Apple_Music_editorial_reach_daily,Q4_2025,last_value,0.0,0.0,0.0,13
2Baba,Playlist_Apple_Music_reach_daily,Q1_2019,last_value,0.0,0.0,0.0,13
2Baba,Playlist_Apple_Music_reach_daily,Q1_2020,last_value,0.0,0.0,0.0,13
