entity_type,entity_name,chartmetric_entity_id,variable_name,platform,geo_scope,geo_label,period_label,aggregation_rule,aggregated_value,unit,qoq_change,yoy_change
artist,Amaarae,834689,Soundcloud_followers_daily,Soundcloud,global,,Q2_2024,net_change,1050.0,followers,-467.0,
artist,Amaarae,834689,Soundcloud_followers_daily,Soundcloud,global,,Q2_2025,net_change,107.0,followers,107.0,-943.0
artist,Amaarae,834689,Soundcloud_followers_daily,Soundcloud,global,,Q3_2024,net_change,0.0,followers,-1050.0,
artist,Amaarae,834689,Soundcloud_followers_daily,Soundcloud,global,,Q4_2025,net_change,604.0,followers,,
artist,Amaarae,834689,Spotify_followers_daily,Spotify,global,,Q1_2024,net_change,66812.0,followers,,
artist,Amaarae,834689,Spotify_followers_daily,Spotify,global,,Q1_2025,net_change,36354.0,followers,-961.0,-30458.0
artist,Amaarae,834689,Spotify_followers_daily,Spotify,global,,Q2_2024,net_change,40005.0,followers,-26807.0,
artist,Amaarae,834689,Spotify_followers_daily,Spotify,global,,Q2_2025,net_change,30239.0,followers,-6115.0,-9766.0
artist,Amaarae,834689,Spotify_followers_daily,Spotify,global,,Q3_2024,net_change,40816.0,followers,811.0,
artist,Amaarae,834689,Spotify_followers_daily,Spotify,global,,Q3_2025,net_change,27803.0,followers,-2436.0,-13013.0
artist,Amaarae,834689,Spotify_followers_daily,Spotify,global,,Q4_2024,net_change,37315.0,followers,-3501.0,
artist,Amaarae,834689,Spotify_followers_daily,Spotify,global,,Q4_2025,net_change,28670.0,followers,867.0,-8645.0
artist,Amaarae,834689,Spotify_monthly_listeners_daily,Spotify,global,,Q1_2024,net_change,397832.0,listeners,,
artist,Amaarae,834689,Spotify_monthly_listeners_daily,Spotify,global,,Q1_2025,net_change,-919112.0,listeners,-515571.0,-1316944.0
artist,Amaarae,834689,Spotify_monthly_listeners_daily,Spotify,global,,Q2_2024,net_change,-960121.0,listeners,-1357953.0,
artist,Amaarae,834689,Spotify_monthly_listeners_daily,Spotify,global,,Q2_2025,net_change,377628.0,listeners,1296740.0,1337749.0
artist,Amaarae,834689,Spotify_monthly_listeners_daily,Spotify,global,,Q3_2024,net_change,1017594.0,listeners,1977715.0,
artist,Amaarae,834689,Spotify_monthly_listeners_daily,Spotify,global,,Q3_2025,net_change,-230798.0,listeners,-608426.0,-1248392.0
artist,Amaarae,834689,Spotify_monthly_listeners_daily,Spotify,global,,Q4_2024,net_change,-403541.0,listeners,-1421135.0,
artist,Amaarae,834689,Spotify_monthly_listeners_daily,Spotify,global,,Q4_2025,net_change,-347389.0,listeners,-116591.0,56152.0
artist,Amaarae,834689,TikTok_followers_daily,TikTok,global,,Q1_2024,net_change,11700.0,followers,,
artist,Amaarae,834689,TikTok_followers_daily,TikTok,global,,Q1_2025,net_change,5925.0,followers,-875.0,-5775.0
