period,artist_name,total_streaming_revenue_usd,nigeria_domestic_share_pct,domestic_revenue_usd,export_share_pct,gross_export_revenue_usd,gross_export_revenue_ngn,top_export_markets,source
Q4_2025,Tekno,223035.87,30,66910.76,70,156125.11,234187658.9,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Tempoe,206961.27,30,62088.38,70,144872.89,217309337.3,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Tems,1560169.4,30,468050.82,70,1092118.58,1638177874,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Teni,114082.55,30,34224.77,70,79857.79,119786679.2,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Terri,22900.74,30,6870.22,70,16030.52,24045773.22,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Terry Apala,13026.75,30,3908.02,70,9118.72,13678085.61,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Timaya,85747.92,30,25724.38,70,60023.54,90035313.27,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Tiwa Savage,233366.21,30,70009.86,70,163356.35,245034519.5,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Vector,53575.64,30,16072.69,70,37502.95,56254423.05,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Victony,438195.27,30,131458.58,70,306736.69,460105028.5,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
